Date,IntDate,Open,High,Low,Close,Adj Close,Volume
11/17/2008,653,19.6,19.93,14.63,16.040001,11.884953,3887700
11/24/2008,654,16.26,19.67,16.030001,19.67,14.574626,3029100
12/1/2008,655,19.25,19.25,15.07,16.690001,12.366574,4559400
12/8/2008,656,17.040001,19.719999,16.959999,18.559999,13.920339,4478600
12/15/2008,657,18.559999,22.049999,17.58,21.5,16.125393,5624100
12/22/2008,658,21.5,21.530001,19.809999,20.76,15.570384,2047200
12/29/2008,659,20.83,23.200001,19.879999,23.030001,17.272924,2769200
1/5/2009,660,23.07,24.75,22.5,23.540001,17.655434,4562000
1/12/2009,661,23.6,23.6,20.26,21.4,16.050392,3561900
1/19/2009,662,20.950001,21.48,19.75,20.629999,15.472877,2693200
1/26/2009,663,20.75,23.82,20.26,20.559999,15.420375,4432200
2/2/2009,664,20.32,21.26,17.57,19.07,14.302848,7593700
2/9/2009,665,19,19.129999,17.74,18.190001,13.64283,3891400
2/16/2009,666,17.809999,17.809999,15.74,16.08,12.060293,3481200
2/23/2009,667,16.17,16.32,14.05,14.18,10.63526,5012000
3/2/2009,668,13.94,13.94,10.91,11.4,8.550208,5061000
3/9/2009,669,11.4,13.3,11.22,13,9.750237,3793400
3/16/2009,670,13.16,14.5,12.67,13.13,10.037954,6249200
3/23/2009,671,13.49,17,13.27,16.719999,12.782526,6185600
3/30/2009,672,16.290001,19.469999,15.8,19.440001,14.861977,5095500
4/6/2009,673,19.09,21.09,18.870001,21.049999,16.092829,3547900
4/13/2009,674,20.530001,22.040001,20.129999,21.870001,16.719725,4248100
4/20/2009,675,21.52,26.379999,20.120001,24.969999,19.089693,8580700
4/27/2009,676,24.219999,26.26,23.07,25.610001,19.578972,4429200
5/4/2009,677,25.66,26.49,24.790001,25.219999,19.280817,3324100
5/11/2009,678,24.610001,24.67,22.51,23.049999,17.621845,3724100
5/18/2009,679,23.290001,25.469999,23.15,23.360001,17.858839,4558100
5/25/2009,680,23.129999,25.15,23.059999,24.32,18.592762,2758500
6/1/2009,681,24.860001,27.190001,24.809999,26.690001,20.404644,3270700
6/8/2009,682,26.719999,27.629999,25.83,26.370001,20.160002,3196200
6/15/2009,683,25.98,26.200001,24.209999,24.4,18.811464,2743500
6/22/2009,684,24.129999,26.4,23.48,26.24,20.230032,4005900
6/29/2009,685,26.059999,27,25.559999,25.709999,19.821419,1894900
7/6/2009,686,25.48,26.290001,25.01,25.65,19.775164,2001100
7/13/2009,687,25.780001,29.299999,25.27,29.110001,22.442688,2262500
7/20/2009,688,29.209999,36,28.860001,34.060001,26.258953,8052700
7/27/2009,689,34.009998,34.450001,33.380001,34.07,26.266659,5124900
8/3/2009,690,34.439999,34.580002,31.58,32.200001,24.824963,6000500
8/10/2009,691,32.110001,34.049999,31.57,33.91,26.143309,4076800
8/17/2009,692,33.470001,37.349998,33.060001,37.240002,28.710606,3781000
8/24/2009,693,37.389999,38.720001,36.630001,37.419998,28.849386,4490000
8/31/2009,694,36.970001,38.34,35.369999,37.759998,29.1115,4587100
9/7/2009,695,38.169998,40.939999,38.169998,40.73,31.585835,4199900
9/14/2009,696,40.529999,40.77,39.689999,40.060001,31.066256,3404500
9/21/2009,697,39.759998,40.650002,38.5,38.740002,30.042597,2470300
9/28/2009,698,39.029999,40.810001,37.490002,38.389999,29.771177,2704200
10/5/2009,699,38.330002,40.990002,38.299999,40.950001,31.756428,2550200
10/12/2009,700,41.009998,44.310001,40.970001,43.240002,33.532326,4129900
10/19/2009,701,43.5,48.73,43.349998,46.259998,35.874306,8037500
10/26/2009,702,46.369999,47.619999,44.580002,45.02,34.912693,5771800
11/2/2009,703,45.150002,46.220001,44.16,45.75,35.478809,5233600
11/9/2009,704,46.029999,49.68,46,47.389999,36.750607,4159700
11/16/2009,705,47.93,49.200001,45.880001,46.490002,36.05267,3131800
11/23/2009,706,47.259998,49.360001,46.779999,47.349998,36.719597,2197600
11/30/2009,707,47.400002,50.200001,46.330002,49.049999,38.037933,5495700
12/7/2009,708,49.23,49.5,47.09,47.959999,37.391071,4560600
12/14/2009,709,48.68,49.43,44.93,45.369999,35.37183,6768900
